id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1367514114948362244	1366881040896319488	2021-03-04 11:35:46 Eastern Standard Time	2021-03-04	11:35:46	-0500	302671041	xj6response	andy		@Dannydofuss @MrWhite45915393 @MercedesGlobal @JanetBrown980 @CTVNews McMasterU is developing next-gen Covid vaccines.  Yet U R sure that one of the world's premier pharma companies, Sanofi, cannot 're-tool' to produce vaccine, even though it is doing just that in germany?  Liberals are just different, in a mindlessly ignorant sort of way	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/xj6response/status/1367514114948362244	False		0		Vancouver						[{'screen_name': 'Dannydofuss', 'name': 'Dan Harrington', 'id': '788446806635982848'}, {'screen_name': 'MrWhite45915393', 'name': 'Model Citizen', 'id': '1034498681863430144'}, {'screen_name': 'MercedesGlobal', 'name': 'Mercedes Stephenson', 'id': '41479334'}, {'screen_name': 'JanetBrown980', 'name': 'Janet Brown', 'id': '402285996'}, {'screen_name': 'CTVNews', 'name': 'CTV News', 'id': '203123011'}]				
1367508298182717440	1367508298182717440	2021-03-04 11:12:40 Eastern Standard Time	2021-03-04	11:12:40	-0500	1363636415439933440	soleimanr9	Soleiman R		I can't wait till vaccine roll out is completed here in Canada. It has taken a long time but hopefully we will be on the right path moving forward from here. #Canada #COVID19 #CovidVaccine	en	[]	[]	[]	0	0	0	['canada', 'covid19', 'covidvaccine']	[]	https://twitter.com/Soleimanr9/status/1367508298182717440	False		0		Vancouver						[]				
1367507623583641604	1367507623583641604	2021-03-04 11:09:59 Eastern Standard Time	2021-03-04	11:09:59	-0500	325209519	marktingcfp	Mark Ting		Interesting-- Marriott Hotels is offering employees a financial incentive to take a covid-19 vaccine. They are going to pay them an equivalent of four hours pay. Not a huge amount of $$ but first I've heard of these types of offers.  Didn't realize they were necessary.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/MarkTingCFP/status/1367507623583641604	False		0		Vancouver						[]				
1367505009802289154	1367505009802289154	2021-03-04 10:59:36 Eastern Standard Time	2021-03-04	10:59:36	-0500	22052004	wayneluke	Capt. Wayne Luke		"Texas Governor Greg Abbott says state mandate for mask wearing is no longer needed, and businesses can operate at full capacity because of the increasing availability of covid-19 vaccine. President Biden calls it ""Neanderthal Thinking"" #TexasMaskMandate #NeanderthalThinking  https://t.co/aSisRZYvRl"	en	[]	[]	['https://pbs.twimg.com/media/EvpaSiCXAAAdMbd.jpg', 'https://pbs.twimg.com/media/EvpaXqiXUAABr0F.jpg']	0	0	0	['texasmaskmandate', 'neanderthalthinking']	[]	https://twitter.com/WayneLuke/status/1367505009802289154	False		1	https://pbs.twimg.com/media/EvpaSiCXAAAdMbd.jpg	Vancouver						[]				
1367501208974479373	1367501208974479373	2021-03-04 10:44:29 Eastern Standard Time	2021-03-04	10:44:29	-0500	1022918614507286529	seanhindscibcma	Sean Hinds, CIBC		With COVID-19 vaccines now rolling out, the question is how will the market respond—and what trends are likely to continue?  https://t.co/yjQUzb6lPz	en	[]	['https://www.creacafe.ca/vaccines-out-migration-and-detached-homes-whats-going-to-drive-real-estate-in-2021/']	[]	0	0	0	[]	[]	https://twitter.com/seanhindscibcma/status/1367501208974479373	False		0		Vancouver						[]				
1367495524891435018	1367495524891435018	2021-03-04 10:21:54 Eastern Standard Time	2021-03-04	10:21:54	-0500	12089642	vancouversun	The Vancouver Sun		COVID-19 update for March 4: Seven more deaths | Health officials recommend 4 months between vaccine doses  https://t.co/ug5JpIVpWR	en	[]	['https://vancouversun.com/news/local-news/covid-19-update-for-march-4-seven-more-deaths-health-officials-recommend-4-months-between-vaccine-doses?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1614871281']	[]	0	0	0	[]	[]	https://twitter.com/VancouverSun/status/1367495524891435018	False		0		Vancouver						[]				
1367474551974633476	1367124576581414912	2021-03-04 08:58:34 Eastern Standard Time	2021-03-04	08:58:34	-0500	542004682	ensembleator	Chris Doyle		@moontreemomma @KMacTWN You can track the # of vaccines administered daily in Canada and by province here:  https://t.co/9r0ULSzGLL After a relative pause between late Jan and the middle of Feb, the rate has been increasing steadily. I'm guessing we need to hit ~ 150K a day soon to break Covid by summer	en	[]	['https://covid19tracker.ca/vaccinationtracker.html']	[]	0	0	0	[]	[]	https://twitter.com/ensembleator/status/1367474551974633476	False		0		Vancouver						[{'screen_name': 'moontreemomma', 'name': 'anxious but okay', 'id': '1265132363245379588'}, {'screen_name': 'KMacTWN', 'name': 'Kim MacDonald', 'id': '26160744'}]				
1367467511248265224	1367467511248265224	2021-03-04 08:30:35 Eastern Standard Time	2021-03-04	08:30:35	-0500	1010897337361694720	pcinewsofficial	Philippine Canadian Inquirer		President Rodrigo Duterte has stood pat on his statement that the government will not force Filipinos to get inoculated with a Covid-19 vaccine, a Palace official said Thursday.  https://t.co/LElphllABZ	en	[]	['http://ow.ly/Mw6f50DPPu1']	[]	1	0	0	[]	[]	https://twitter.com/PCInewsofficial/status/1367467511248265224	False		0		Vancouver						[]				
1367465225419714562	1367465225419714562	2021-03-04 08:21:30 Eastern Standard Time	2021-03-04	08:21:30	-0500	1018275578	stephen_cornish	Stephen Cornish		Calls intensify for Big Pharma to break monopolies on Covid-19 vaccines  https://t.co/vpq0bY2TzS	en	[]	['https://www.swissinfo.ch/eng/calls-intensify-for-big-pharma-to-break-monopolies-on-covid-19-vaccines/46414146#.YEDezaDroEM.twitter']	[]	0	4	5	[]	[]	https://twitter.com/Stephen_Cornish/status/1367465225419714562	False		0		Vancouver						[]				
1367451786215268356	1367451786215268356	2021-03-04 07:28:06 Eastern Standard Time	2021-03-04	07:28:06	-0500	38374100	winsontang	Winson Tang		The science behind delaying the 2nd dose of COVID-19 vaccines  https://t.co/eHSa9ir0YF  https://t.co/vvseXmfvD6	en	[]	['https://www.cbc.ca/news/thenational/the-science-behind-delaying-the-2nd-dose-of-covid-19-vaccines-1.5936022?cmp=rss&utm_source=dlvr.it&utm_medium=twitter']	['https://pbs.twimg.com/media/EvoqJyLU8AMjiI4.jpg']	0	0	0	[]	[]	https://twitter.com/winsontang/status/1367451786215268356	False		1	https://pbs.twimg.com/media/EvoqJyLU8AMjiI4.jpg	Vancouver						[]				
